,City,Country,Lat,Lng,Hotel Name
152,St. George's,,12.0564,-61.7485,
153,Faya,,18.3851,42.4509,
154,Petropavlovsk-Kamchatskiy,,53.0452,158.6483,
155,Loa Janan,,-0.583,117.095,
156,Mahon,,39.8885,4.2658,
157,Key West,,24.5557,-81.7826,
158,Khatanga,,71.9667,102.5,
159,Port Hardy,,50.6996,-127.4199,
160,Half Moon Bay,,37.4636,-122.4286,
161,Atar,,20.5169,-13.0499,
162,Karatau,,43.1667,70.4667,
163,Kruisfontein,,-34.0033,24.7314,
164,Talara,,-4.5772,-81.2719,
165,Ambilobe,,-13.2,49.05,
166,Udachny,,66.4167,112.4,
167,Mutatá,,7.2441,-76.4356,
168,Saint Anthony,,45.0205,-93.218,
169,Ribeirão Preto,,-21.1775,-47.8103,
170,Ibrā’,,22.6906,58.5334,
171,Phonhong,,18.5007,102.4166,
172,Kieta,,-6.2167,155.6333,
173,Pevek,,69.7008,170.3133,
174,General Roca,,-39.0333,-67.5833,
175,Bonavista,,48.6499,-53.1147,
176,Yulara,,-25.2406,130.9889,
177,Longyearbyen,,78.2186,15.6401,
178,São João da Barra,,-21.6403,-41.0511,
179,Tabuk,,17.4189,121.4443,
180,Coahuayana Viejo,,18.7333,-103.6833,
181,Naryan-Mar,,67.6713,53.087,
182,Tahe,,52.3333,124.7333,
183,Fort Nelson,,58.8053,-122.7002,
184,Lüderitz,,-26.6481,15.1594,
185,Kavaratti,,10.5669,72.642,
186,Diamantino,,-14.4086,-56.4461,
187,Skibbereen,,51.55,-9.2667,
188,Maravatío de Ocampo,,19.9,-100.45,
189,Tawao,,4.2498,117.8871,
190,Atuona,,-9.8,-139.0333,
191,Jega,,12.2175,4.3792,
192,Avera,,33.194,-82.5271,
193,Rafai,,4.95,23.9167,
194,Comodoro Rivadavia,,-45.8667,-67.5,
195,Ambon City,,-3.6954,128.1814,
196,Road Town,,18.4167,-64.6167,
197,Codrington,,-38.2667,141.9667,
198,Pacific Grove,,36.6177,-121.9166,
199,Sitka,,57.0531,-135.33,
200,Abu Dhabi,,24.4667,54.3667,
201,Bathsheba,,13.2167,-59.5167,
202,Cape Town,,-33.9258,18.4232,
203,Kushiro,,42.975,144.3747,
204,Mount Isa,,-20.7333,139.5,
205,Pemberton,,50.3164,-122.8027,
206,Souillac,,-20.5167,57.5167,
207,Gold Coast,,-28.0,153.4333,
208,Tasiilaq,,65.6145,-37.6368,
209,Philadelphia,,39.9523,-75.1638,
210,Pisco,,-13.7,-76.2167,
211,Tres Arroyos,,-38.3739,-60.2798,
212,Morehead,,37.2711,-87.1764,
213,Chuchkovo,,54.2693,41.4465,
214,Beira,,-19.8436,34.8389,
215,Ignatovka,,53.9479,47.6536,
216,Mar del Plata,,-38.0023,-57.5575,
217,Alberdi,,-32.8899,-60.6906,
218,Hirara,,24.8,125.2833,
219,Evensk,,61.95,159.2333,
220,Tāybād,,34.74,60.7756,
221,Talnakh,,69.4865,88.3972,
222,Bengkulu,,-3.8004,102.2655,
223,Nhulunbuy,,-12.2333,136.7667,
224,Byron Bay,,-28.65,153.6167,
225,Nushki,,29.5542,66.0215,
226,Saint Paul Harbor,,57.79,-152.4072,
227,Tautira,,-17.7333,-149.15,
228,Mezen',,65.8522,44.24,
229,Jamame,,0.0722,42.7506,
230,Lebu,,-37.6167,-73.65,
231,Deputatsky,,69.3,139.9,
232,Paita,,-5.0892,-81.1144,
233,Yeppoon,,-23.1333,150.7333,
234,Sørland,,67.667,12.6934,
235,Moree,,-29.4667,149.85,
236,Whyalla,,-33.0333,137.5833,
237,Touros,,-5.1989,-35.4608,
238,Weiser,,44.251,-116.9693,
239,Kayan,,16.9056,96.5631,
240,The Valley,,18.217,-63.0578,
241,Krosno Odrzańskie,,52.0549,15.0988,
242,Banjar,,-8.19,114.9675,
243,Lakatoro,,-16.0999,167.4164,
244,El Monte,,34.0686,-118.0276,
245,Camopi,,3.1655,-52.3158,
246,San Cristobal,,7.7669,-72.225,
247,Rio Grande,,-32.035,-52.0986,
248,Chui,,-33.6971,-53.4616,
249,San Patricio,,28.017,-97.5169,
250,Manaus,,-3.1019,-60.025,
251,Kavieng,,-2.5744,150.7967,
252,Vao,,-22.6667,167.4833,
253,Ulaanbaatar,,47.9077,106.8832,
254,Praia,,14.9215,-23.5087,
255,Port Dickson,,2.5228,101.7959,
256,Pineville,,31.3224,-92.4343,
257,Sangmélima,,2.9333,11.9833,
258,Cidreira,,-30.1811,-50.2056,
259,Urengoy,,65.9667,78.3667,
260,Tura,,25.5198,90.2201,
261,Cockburn Town,,21.4612,-71.1419,
262,Ucluelet,,48.9329,-125.5528,
263,Rakitovo,,41.9833,24.0833,
264,Kununurra,,-15.7667,128.7333,
265,Natal,,-5.795,-35.2094,
266,Aklavik,,68.2191,-135.0107,
267,Chamba,,32.5667,76.1333,
268,Severo-Kuril'sk,,50.6789,156.125,
269,Belaya Gora,,68.5333,146.4167,
270,Antalaha,,-14.9003,50.2788,
271,Korla,,41.7597,86.1469,
272,Manono,,-7.3,27.4167,
273,Nuevo Progreso,,23.1667,-97.95,
274,Iqaluit,,63.7506,-68.5145,
275,Żurrieq,,35.8311,14.4742,
276,Maricá,,-22.9194,-42.8186,
277,Patiya,,22.2931,91.9762,
278,Mindelo,,16.8901,-24.9804,
279,Grand Gaube,,-20.0064,57.6608,
280,Charters Towers,,-20.1,146.2667,
281,Ardakān,,32.31,54.0175,
282,Chkalovskoye,,44.8392,133.0436,
283,Pemangkat,,1.1667,108.9667,
284,Quatre Cocos,,-20.2078,57.7625,
285,Caohai,,26.8661,104.2841,
286,Hay River,,60.8156,-115.7999,
287,Paidha,,2.4167,30.9855,
288,Kargasok,,59.0556,80.8572,
289,Tessalit,,20.1986,1.0114,
290,Zapolyarnyy,,69.4154,30.8136,
291,Biltine,,14.5333,20.9167,
292,Hamilton,,39.1834,-84.5333,
293,Elizabeth City,,36.2946,-76.2511,
294,Mayumba,,-3.432,10.6554,
295,Laborie,,13.75,-60.9833,
296,Alexandria,,31.2156,29.9553,
