,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Torbay,47.6666,-52.7314,278.86,78,40,4.63
103,Amapá,1.0,-52.0,295.07,99,64,0.89
104,Sheikhpura,25.15,85.85,302.81,58,79,3.58
105,Sandy Springs,33.9243,-84.3785,296.99,61,40,0.45
106,Shelburne,44.0787,-80.2041,295.59,79,100,2.86
107,Ilām,26.9167,87.9167,295.97,74,92,0.9
108,Beşikdüzü,41.052,39.2284,288.09,62,0,3.64
109,Taoudenni,22.6783,-3.9836,308.99,15,99,9.14
110,Suntar,62.1444,117.6319,280.97,25,99,4.41
111,Tuatapere,-46.1333,167.6833,288.05,71,31,2.7
112,Balikpapan,-1.2675,116.8289,300.52,78,92,2.46
113,Ilembula,-8.9,34.5833,286.5,84,91,4.1
114,Arrondissement de Vannes,47.8333,-2.5,284.42,92,100,1.39
115,Shillong,25.5689,91.8831,291.72,86,95,3.3
116,Los Llanos de Aridane,28.6585,-17.9182,291.55,72,0,7.32
117,Oriximiná,-1.7656,-55.8661,297.98,89,100,1.31
118,Lira,2.235,32.9097,291.8,95,100,1.24
119,Anaconda,46.1285,-112.9423,280.7,99,100,2.82
120,Baghdad,33.3406,44.4009,296.1,17,0,3.96
121,Anadyr,64.75,177.4833,276.43,94,20,6.71
122,Ilo,-17.6394,-71.3375,290.97,84,56,3.91
123,Okha,53.5739,142.9478,276.19,95,100,2.35
124,Chicama,-7.8447,-79.1469,290.45,83,96,2.24
125,Homer,59.6425,-151.5483,282.64,66,90,3.09
126,Rawson,-43.3002,-65.1023,286.21,93,100,8.64
127,Maragogi,-9.0122,-35.2225,297.31,87,14,0.82
128,Tasiilaq,65.6145,-37.6368,268.24,72,21,2.14
129,Kiryat Gat,31.61,34.7642,293.05,85,0,1.67
130,Avigliano,40.7329,15.72,280.74,87,92,2.21
131,Port Hardy,50.6996,-127.4199,285.25,66,75,6.17
132,Yellowknife,62.456,-114.3525,277.44,30,20,1.79
133,Maniitsoq,65.4167,-52.9,272.93,98,100,5.33
134,Airai,-8.9266,125.4092,296.31,45,73,1.77
135,Atuona,-9.8,-139.0333,299.9,77,16,7.75
136,Norman Wells,65.282,-126.8329,285.17,35,75,3.09
137,Lüderitz,-26.6481,15.1594,287.97,83,5,2.81
138,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,292.54,77,18,3.04
139,Vanimo,-2.6741,141.3028,303.07,67,84,2.25
140,Butterworth,5.3991,100.3638,300.93,88,20,0.89
141,Saint-Pierre,-21.3393,55.4781,294.95,87,90,5.66
142,El Cairo,4.7591,-76.2223,288.71,98,90,0.81
143,Lerwick,60.1545,-1.1494,277.15,74,20,4.27
144,Richards Bay,-28.783,32.0377,292.87,74,100,6.33
145,Poso,-1.3959,120.7524,303.62,61,43,0.44
146,Santa Isabel,-23.3156,-46.2214,290.03,81,1,0.69
147,Fairbanks,64.8378,-147.7164,291.13,34,1,3.09
148,Kharan,28.5833,65.4167,301.2,9,0,0.72
149,Kiama,-34.6833,150.8667,292.59,39,79,3.09
150,Narsaq,60.9167,-46.05,278.27,67,60,1.81
151,Tiksi,71.6872,128.8694,272.56,93,100,3.75
152,Castro,-24.7911,-50.0119,283.94,52,1,1.09
153,Diffa,13.3154,12.6113,304.05,13,81,2.68
154,Khatanga,71.9667,102.5,269.96,91,88,1.86
155,Vila do Maio,15.1333,-23.2167,296.59,89,74,7.23
156,Surgut,61.25,73.4167,278.25,41,0,3.38
157,Geraldton,-28.7667,114.6,293.38,55,0,3.75
158,Berlevåg,70.8578,29.0864,278.14,94,100,3.1
159,Mareeba,-17.0,145.4333,296.17,67,49,4.14
160,Hobart,-42.8794,147.3294,287.66,52,40,2.68
161,Omboué,-1.5746,9.2618,297.55,93,100,2.44
162,Zaraza,9.3503,-65.3245,299.1,68,7,2.26
163,Carnarvon,-24.8667,113.6333,294.19,64,0,4.12
164,Solnechnyy,50.7214,136.6319,283.47,79,100,2.2
165,Rocha,-34.4833,-54.3333,280.28,90,26,0.65
166,Ust-Maya,60.4167,134.5333,284.55,22,91,1.22
167,Killam,52.7834,-111.8518,277.12,75,100,5.66
168,Pisco,-13.7,-76.2167,292.18,82,0,5.14
169,Poum,-20.2333,164.0167,297.27,74,1,4.87
170,Dubbo,-32.25,148.6167,289.22,51,13,2.06
171,Poya,-21.35,165.15,298.8,64,84,4.86
172,Severo-Kuril'sk,50.6789,156.125,279.58,83,68,2.33
173,Oliveira dos Brejinhos,-12.3169,-42.8961,295.87,49,38,1.56
174,Cabedelo,-6.9811,-34.8339,297.52,79,0,2.91
175,Te Anau,-45.4167,167.7167,286.29,71,44,2.79
176,Vao,-22.6667,167.4833,296.15,77,26,8.2
177,Saquena,-4.6667,-73.5167,295.85,93,66,0.25
178,Gazojak,41.1875,61.4036,299.27,23,3,2.44
179,Mount Isa,-20.7333,139.5,299.02,31,48,6.17
180,Namatanai,-3.6667,152.4333,303.25,66,78,1.71
181,Laguna,38.421,-121.4238,297.84,37,1,3.58
182,Mackay,-21.15,149.2,298.73,69,5,9.77
183,Dudinka,69.4058,86.1778,263.66,93,7,3.11
184,São Filipe,14.8961,-24.4956,296.85,75,98,2.51
185,Soyo,-6.1349,12.3689,299.08,87,43,2.52
186,Waingapu,-9.6567,120.2641,302.7,67,39,5.67
187,Aiken,33.5835,-81.5998,297.31,74,90,3.31
188,Leningradskiy,69.3833,178.4167,274.62,84,98,3.26
189,Callaguip,18.0714,120.4867,305.16,69,20,3.49
190,Ruwi,23.5996,58.5507,309.98,37,0,2.39
191,Corinth,37.9407,22.9573,294.68,67,100,1.34
192,Tuktoyaktuk,69.4541,-133.0374,276.15,70,20,8.23
193,Sinnamary,5.3833,-52.95,298.86,88,100,5.98
194,Coquimbo,-29.9533,-71.3436,288.21,79,100,1.07
195,San Cristobal,7.7669,-72.225,292.13,99,66,1.42
196,Olafsvik,64.8945,-23.7142,277.58,67,18,4.49
197,Āsosa,10.0667,34.5333,289.87,93,100,1.38
198,Yeppoon,-23.1333,150.7333,298.03,56,1,7.36
199,Zumpango de Ocampo,19.7978,-99.1017,296.01,21,1,5.05
200,Norsup,-16.0667,167.3833,298.42,82,100,4.21
201,Tura,25.5198,90.2201,298.95,89,100,2.61
202,Havøysund,70.9963,24.6622,278.34,92,100,3.4
203,Manta,-0.95,-80.7333,297.03,88,75,5.14
204,Ruteng,-8.6136,120.4721,297.13,56,11,0.91
205,Evensk,61.95,159.2333,273.86,100,100,1.08
206,Aketi,2.7388,23.7833,294.64,99,99,0.66
207,Tuskegee,32.424,-85.6916,298.61,64,93,4.24
208,Saldanha,-33.0117,17.9442,288.18,95,100,8.98
209,Agüimes,27.9054,-15.4461,293.07,75,75,12.35
210,Shirgaon,19.7,72.7,301.99,74,87,3.63
211,Gongzhuling,43.5008,124.8198,299.75,29,100,8.99
212,Palmer,42.1584,-72.3287,294.11,47,40,2.2
213,Waipawa,-41.4122,175.5153,288.21,62,1,2.91
214,Ponta Delgada,37.7333,-25.6667,292.55,94,40,1.03
215,Quatre Cocos,-20.2078,57.7625,294.87,74,53,10.27
216,Padang,-0.9492,100.3543,302.18,71,100,0.41
217,Al Bardīyah,31.7561,25.0865,293.73,63,0,2.23
218,Iqaluit,63.7506,-68.5145,268.0,58,75,2.57
219,Calvinia,-31.4707,19.776,282.64,59,100,2.41
220,Makkah al Mukarramah,21.4267,39.8261,302.68,19,56,1.89
221,Livingstonia,-10.606,34.1063,287.16,84,100,1.41
222,Světlá nad Sázavou,49.668,15.4039,281.34,94,99,1.75
223,Dunedin,-45.8742,170.5036,288.6,55,36,2.49
224,Samarai,-10.6167,150.6667,300.12,84,100,6.53
225,Dzaoudzi,-12.7887,45.2699,300.09,74,75,6.17
226,Saint-Augustin,51.226,-58.6502,282.75,67,100,1.29
227,Beringovskiy,63.05,179.3167,275.64,83,90,5.5
228,Santa Isabel Rio Negro,-0.4139,-65.0192,295.82,97,100,0.41
229,Hong Kong,22.2855,114.1577,305.91,76,100,0.45
230,Nortelândia,-14.4547,-56.8028,295.25,55,16,1.76
231,Sucre,-19.0333,-65.2627,286.41,51,35,2.05
232,São João da Barra,-21.6403,-41.0511,293.24,83,34,1.83
233,Gizo Government Station,-8.103,156.8419,302.98,65,100,1.5
234,Neuquén,-38.9516,-68.0591,285.09,94,0,0.0
235,Tokur,53.1333,132.9,276.93,92,100,1.73
236,Faya,18.3851,42.4509,293.44,34,5,1.91
237,Lagoa,39.05,-27.9833,288.26,85,100,7.1
238,Fes,34.0372,-4.9998,294.29,42,0,1.03
239,Najrān,17.4924,44.1277,296.51,16,9,1.28
240,Ambon City,-3.6954,128.1814,305.23,75,40,2.51
241,Kovdor,67.5662,30.4758,281.29,99,100,2.0
242,Rincon,32.296,-81.2354,296.25,81,40,2.42
243,Payakumbuh,-0.2202,100.6308,298.54,84,89,0.56
244,Turochak,52.2576,87.1224,277.91,97,100,3.2
245,Arrondissement du Havre,49.5833,0.3333,283.02,93,90,3.72
246,Djebeniana,35.035,10.9081,293.04,55,15,9.2
247,Udachny,66.4167,112.4,273.78,100,99,3.67
248,Moose Factory,51.2585,-80.6094,293.14,68,90,6.17
249,Grindavik,63.8424,-22.4338,277.41,74,40,0.94
250,Kudahuvadhoo,2.6708,72.8944,302.14,73,45,5.83
251,Misratah,32.3754,15.0925,294.47,68,66,4.78
252,Rognan,67.0953,15.3878,279.23,97,100,2.05
253,Bengkulu,-3.8004,102.2655,299.54,84,100,0.95
254,Labuhan,-6.8844,112.2051,301.69,71,33,2.55
255,Acaraú,-2.8856,-40.12,298.64,85,6,4.96
256,Port Elizabeth,-33.918,25.5701,287.31,100,0,1.54
257,Buala,-8.145,159.5921,301.88,76,99,2.88
258,Guerrero Negro,27.9769,-114.0611,290.03,80,0,8.14
259,Skjervøy,70.0311,20.9714,278.93,96,100,1.89
260,Mbanza-Ngungu,-5.25,14.8667,292.99,97,8,1.05
